,player_id,hand,dob,ioc,rank,points,wins,losses,total,name
0,100644,R,19970420,GER,3,7795,334.0,150.0,484.0,Alexander Zverev
1,103175,R,19780419,JPN,1038,9,4.0,2.0,6.0,Toshihide Matsui
2,103220,R,19780618,KOR,1422,3,1.0,0.0,1.0,Oh Hee Kwon
3,103333,R,19790228,CRO,396,108,373.0,346.0,719.0,Ivo Karlovic
4,103590,R,19800711,COL,1560,2,8.0,4.0,12.0,Michael Quintero
5,103708,R,19810209,CZE,761,24,1.0,7.0,8.0,Jaroslav Pospisil
6,103819,R,19810808,SUI,50,1030,1259.0,280.0,1539.0,Roger Federer
7,103852,L,19810920,ESP,113,537,509.0,482.0,991.0,Feliciano Lopez
8,103893,R,19811215,ITA,494,71,110.0,185.0,295.0,Paolo Lorenzi
9,103917,R,19820121,FRA,544,57,181.0,226.0,407.0,Nicolas Mahut
10,103926,L,19820129,ESP,1504,2,9.0,28.0,37.0,Daniel Munoz de la Nava
11,103990,R,19820501,ESP,510,64,534.0,362.0,896.0,Tommy Robredo
12,104070,R,19821015,USA,1712,1,2.0,9.0,11.0,Jesse Witten
13,104198,R,19830604,ESP,624,39,299.0,354.0,653.0,Guillermo Garcia Lopez
14,104229,R,19830814,TPE,800,20,162.0,236.0,398.0,Yen Hsun Lu
15,104251,R,19831003,TPE,1389,3,15.0,20.0,35.0,Ti Chen
16,104259,R,19831016,GER,153,422,482.0,400.0,882.0,Philipp Kohlschreiber
17,104269,L,19831115,ESP,118,530,558.0,438.0,996.0,Fernando Verdasco
18,104291,R,19840120,TUN,341,136,100.0,142.0,242.0,Malek Jaziri
19,104297,R,19840203,BRA,642,36,30.0,65.0,95.0,Rogerio Dutra Silva
20,104312,R,19840221,ITA,141,466,388.0,421.0,809.0,Andreas Seppi
21,104327,R,19840313,BEL,680,32,119.0,137.0,256.0,Steve Darcis
22,104386,R,19840622,SRB,769,23,289.0,261.0,550.0,Janko Tipsarevic
23,104424,R,19840905,JPN,297,169,56.0,92.0,148.0,Go Soeda
24,104460,R,19841208,GER,599,45,62.0,99.0,161.0,Dustin Brown
25,104467,R,19841222,ALG,910,14,20.0,19.0,39.0,Lamine Ouahab
26,104468,R,19841227,FRA,134,481,504.0,393.0,897.0,Gilles Simon
27,104505,R,19850223,RUS,592,47,10.0,28.0,38.0,Konstantin Kravchuk
28,104523,R,19850324,POR,912,14,67.0,76.0,143.0,Frederico Gil
29,104527,R,19850328,SUI,258,214,538.0,316.0,854.0,Stan Wawrinka
30,104534,R,19850404,ISR,650,35,142.0,194.0,336.0,Dudi Sela
31,104545,R,19850426,USA,25,1696,468.0,295.0,763.0,John Isner
32,104559,R,19850523,RUS,443,90,116.0,200.0,316.0,Teymuraz Gabashvili
33,104563,R,19850604,ITA,963,12,5.0,18.0,23.0,Luca Vanni
34,104586,R,19850724,CZE,260,213,124.0,158.0,282.0,Lukas Rosol
35,104593,R,19850807,ESP,759,24,97.0,173.0,270.0,Daniel Gimeno Traver
36,104629,R,19851028,ESP,357,125,6.0,18.0,24.0,Adrian Menendez Maceiras
37,104646,R,19851207,IND,1504,2,0.0,1.0,1.0,Purav Raja
38,104655,R,19860101,URU,145,443,241.0,223.0,464.0,Pablo Cuevas
39,104660,R,19860106,UKR,327,152,173.0,215.0,388.0,Sergiy Stakhovsky
40,104665,R,19860123,ESP,101,625,163.0,236.0,399.0,Pablo Andujar
41,104678,R,19860210,SRB,347,130,298.0,274.0,572.0,Viktor Troicki
42,104719,R,19860412,ESP,389,111,203.0,250.0,453.0,Marcel Granollers
43,104729,R,19860512,RUS,567,52,0.0,2.0,2.0,Ivan Nedelko
44,104735,R,19860521,GER,317,158,63.0,103.0,166.0,Tobias Kamke
45,104745,L,19860603,ESP,4,7525,1067.0,217.0,1284.0,Rafael Nadal
46,104755,R,19860618,FRA,72,853,576.0,365.0,941.0,Richard Gasquet
47,104792,R,19860901,FRA,24,1715,525.0,307.0,832.0,Gael Monfils
48,104797,R,19860907,UZB,320,157,231.0,266.0,497.0,Denis Istomin
49,104810,R,19860920,CHN,565,52,6.0,13.0,19.0,Zhe Li
50,104868,R,19870209,GBR,782,22,25.0,61.0,86.0,James Ward
51,104871,R,19870212,FRA,388,111,299.0,303.0,602.0,Jeremy Chardy
52,104873,R,19870215,KAZ,830,18,6.0,26.0,32.0,Aleksandr Nedovyesov
53,104882,R,19870305,SLO,863,16,58.0,90.0,148.0,Blaz Kavcic
54,104897,R,19870402,GER,362,122,31.0,55.0,86.0,Matthias Bachinger
55,104898,R,19870406,NED,256,216,231.0,270.0,501.0,Robin Haase
56,104901,R,19870410,EST,1058,9,6.0,7.0,13.0,Vladimir Ivanov
57,104905,R,19870424,COL,353,126,0.0,3.0,3.0,Nicolas Barrientos
58,104907,R,19870425,NZL,620,40,23.0,26.0,49.0,Jose Rubin Statham
59,104908,R,19870425,NZL,1619,2,1.0,1.0,2.0,Mikal Oliver Statham
60,104917,R,19870512,MAR,1321,4,0.0,1.0,1.0,Anas Fattar
61,104918,R,19870515,GBR,68,890,712.0,228.0,940.0,Andy Murray
62,104919,R,19870515,ARG,552,54,180.0,198.0,378.0,Leonardo Mayer
63,104925,R,19870522,SRB,1,8770,1019.0,204.0,1223.0,Novak Djokovic
64,104926,R,19870524,ITA,52,1011,400.0,352.0,752.0,Fabio Fognini
65,104932,L,19870529,FRA,371,117,27.0,61.0,88.0,Kenny De Schepper
66,104947,R,19870611,TUR,690,32,33.0,59.0,92.0,Marsel Ilhan
67,104960,R,19870621,MEX,1265,4,4.0,4.0,8.0,Miguel Angel Reyes Varela
68,104963,R,19870625,BEL,666,34,1.0,2.0,3.0,Yannick Mertens
69,104970,R,19870707,ITA,425,94,4.0,13.0,17.0,Matteo Viola
70,104978,R,19870717,GER,978,11,60.0,93.0,153.0,Daniel Brands
71,104979,R,19870722,KAZ,1083,8,67.0,117.0,184.0,Andrey Golubev
72,104986,R,19870727,IND,1204,5,1.0,4.0,5.0,Vishnu Vardhan
73,104997,R,19870818,NED,509,65,50.0,90.0,140.0,Igor Sijsling
74,104999,L,19870822,GER,598,45,134.0,200.0,334.0,Mischa Zverev
75,105001,R,19870824,CHN,1373,3,2.0,6.0,8.0,Mao Xin Gong
76,105011,R,19870908,UKR,247,224,65.0,95.0,160.0,Illya Marchenko
77,105023,R,19871007,USA,107,580,385.0,324.0,709.0,Sam Querrey
78,105026,U,19871012,JPN,921,14,0.0,1.0,1.0,Takuto Niki
79,105031,R,19871019,IND,813,19,2.0,3.0,5.0,Saketh Myneni
80,105041,R,19871103,SVK,242,230,98.0,148.0,246.0,Lukas Lacko
81,105051,R,19871126,AUS,432,92,79.0,127.0,206.0,Matthew Ebden
82,105053,R,19871127,COL,1143,6,167.0,205.0,372.0,Santiago Giraldo
83,105059,L,19871219,JPN,907,15,0.0,1.0,1.0,Kento Takeuchi
84,105060,R,19871221,BIH,361,124,8.0,7.0,15.0,Aldin Setkic
85,105062,R,19871226,KAZ,166,354,172.0,229.0,401.0,Mikhail Kukushkin
86,105063,L,19871227,ITA,218,265,4.0,10.0,14.0,Andrea Arnaboldi
87,105064,L,19871230,BRA,1117,7,203.0,218.0,421.0,Thomaz Bellucci
88,105065,R,19871230,USA,703,29,43.0,85.0,128.0,Tim Smyczek
89,105074,L,19880114,BEL,316,158,30.0,61.0,91.0,Ruben Bemelmans
